"filename", "language", "Java", "Markdown", "C++", "Python", "comment", "blank", "total"
"c:\Users\manio\Desktop\bloblyVM\README.md", "Markdown", 0, 351, 0, 0, 0, 0, 351
"c:\Users\manio\Desktop\bloblyVM\bbreader.py", "Python", 0, 0, 0, 56, 3, 2, 61
"c:\Users\manio\Desktop\bloblyVM\benchmarks\factorial\factorial.py", "Python", 0, 0, 0, 10, 0, 2, 12
"c:\Users\manio\Desktop\bloblyVM\benchmarks\factorial\main.bb", "Java", 8, 0, 0, 0, 0, 1, 9
"c:\Users\manio\Desktop\bloblyVM\benchmarks\lists\push.bb", "Java", 16, 0, 0, 0, 0, 1, 17
"c:\Users\manio\Desktop\bloblyVM\benchmarks\lists\push.py", "Python", 0, 0, 0, 15, 0, 5, 20
"c:\Users\manio\Desktop\bloblyVM\benchmarks\vectors\benchtest.bb", "Java", 6, 0, 0, 0, 0, 1, 7
"c:\Users\manio\Desktop\bloblyVM\benchmarks\vectors\competing.cpp", "C++", 0, 0, 20, 0, 0, 3, 23
"c:\Users\manio\Desktop\bloblyVM\benchmarks\vectors\numpyimpl.py", "Python", 0, 0, 0, 9, 0, 1, 10
"c:\Users\manio\Desktop\bloblyVM\benchmarks\vectors\parallel.bb", "Java", 60, 0, 0, 0, 0, 4, 64
"c:\Users\manio\Desktop\bloblyVM\benchmarks\vectors\pyth.py", "Python", 0, 0, 0, 13, 1, 1, 15
"c:\Users\manio\Desktop\bloblyVM\benchmarks\vectors\slow.bb", "Java", 11, 0, 0, 0, 0, 1, 12
"c:\Users\manio\Desktop\bloblyVM\blombly.cpp", "C++", 0, 0, 437, 0, 63, 23, 523
"c:\Users\manio\Desktop\bloblyVM\docs\assembly.md", "Markdown", 0, 16, 0, 0, 0, 2, 18
"c:\Users\manio\Desktop\bloblyVM\docs\executions.md", "Markdown", 0, 38, 0, 0, 0, 8, 46
"c:\Users\manio\Desktop\bloblyVM\docs\keywords.md", "Markdown", 0, 41, 0, 0, 0, 9, 50
"c:\Users\manio\Desktop\bloblyVM\docs\syntax.md", "Markdown", 0, 184, 0, 0, 0, 40, 224
"c:\Users\manio\Desktop\bloblyVM\examples\concepts\arithmetics.bb", "Java", 14, 0, 0, 0, 1, 1, 16
"c:\Users\manio\Desktop\bloblyVM\examples\concepts\finals.bb", "Java", 12, 0, 0, 0, 0, 0, 12
"c:\Users\manio\Desktop\bloblyVM\examples\concepts\funcsync.bb", "Java", 29, 0, 0, 0, 0, 2, 31
"c:\Users\manio\Desktop\bloblyVM\examples\concepts\multiinheritance.bb", "Java", 20, 0, 0, 0, 0, 2, 22
"c:\Users\manio\Desktop\bloblyVM\examples\concepts\overloading.bb", "Java", 17, 0, 0, 0, 0, 1, 18
"c:\Users\manio\Desktop\bloblyVM\examples\concepts\transfer_method.bb", "Java", 24, 0, 0, 0, 0, 5, 29
"c:\Users\manio\Desktop\bloblyVM\examples\demos\binsearch.bb", "Java", 13, 0, 0, 0, 0, 1, 14
"c:\Users\manio\Desktop\bloblyVM\examples\demos\constuctors.bb", "Java", 33, 0, 0, 0, 13, 4, 50
"c:\Users\manio\Desktop\bloblyVM\examples\demos\fibonacci.bb", "Java", 12, 0, 0, 0, 0, 1, 13
"c:\Users\manio\Desktop\bloblyVM\examples\demos\inlinerecursion.bb", "Java", 7, 0, 0, 0, 0, 1, 8
"c:\Users\manio\Desktop\bloblyVM\examples\demos\recursion.bb", "Java", 7, 0, 0, 0, 0, 1, 8
"c:\Users\manio\Desktop\bloblyVM\examples\demos\recursion.py", "Python", 0, 0, 0, 8, 0, 2, 10
"c:\Users\manio\Desktop\bloblyVM\include\BMemory.h", "C++", 0, 0, 71, 0, 8, 12, 91
"c:\Users\manio\Desktop\bloblyVM\include\common.h", "C++", 0, 0, 77, 0, 8, 24, 109
"c:\Users\manio\Desktop\bloblyVM\include\data\BFloat.h", "C++", 0, 0, 21, 0, 2, 8, 31
"c:\Users\manio\Desktop\bloblyVM\include\data\BString.h", "C++", 0, 0, 21, 0, 2, 7, 30
"c:\Users\manio\Desktop\bloblyVM\include\data\Boolean.h", "C++", 0, 0, 22, 0, 2, 8, 32
"c:\Users\manio\Desktop\bloblyVM\include\data\Code.h", "C++", 0, 0, 24, 0, 3, 8, 35
"c:\Users\manio\Desktop\bloblyVM\include\data\Data.h", "C++", 0, 0, 36, 0, 2, 6, 44
"c:\Users\manio\Desktop\bloblyVM\include\data\Future.h", "C++", 0, 0, 28, 0, 4, 9, 41
"c:\Users\manio\Desktop\bloblyVM\include\data\Integer.h", "C++", 0, 0, 24, 0, 2, 8, 34
"c:\Users\manio\Desktop\bloblyVM\include\data\Iterator.h", "C++", 0, 0, 32, 0, 3, 9, 44
"c:\Users\manio\Desktop\bloblyVM\include\data\List.h", "C++", 0, 0, 31, 0, 3, 9, 43
"c:\Users\manio\Desktop\bloblyVM\include\data\Struct.h", "C++", 0, 0, 35, 0, 0, 6, 41
"c:\Users\manio\Desktop\bloblyVM\include\data\Vector.h", "C++", 0, 0, 42, 0, 3, 11, 56
"c:\Users\manio\Desktop\bloblyVM\include\interpreter\Command.h", "C++", 0, 0, 17, 0, 0, 5, 22
"c:\Users\manio\Desktop\bloblyVM\include\interpreter\thread.h", "C++", 0, 0, 39, 0, 0, 5, 44
"c:\Users\manio\Desktop\bloblyVM\include\tsl\bhopscotch_map.h", "C++", 0, 0, 414, 0, 219, 105, 738
"c:\Users\manio\Desktop\bloblyVM\include\tsl\bhopscotch_set.h", "C++", 0, 0, 316, 0, 194, 80, 590
"c:\Users\manio\Desktop\bloblyVM\include\tsl\hopscotch_growth_policy.h", "C++", 0, 0, 260, 0, 99, 47, 406
"c:\Users\manio\Desktop\bloblyVM\include\tsl\hopscotch_hash.h", "C++", 0, 0, 1367, 0, 210, 317, 1894
"c:\Users\manio\Desktop\bloblyVM\include\tsl\hopscotch_map.h", "C++", 0, 0, 392, 0, 242, 105, 739
"c:\Users\manio\Desktop\bloblyVM\include\tsl\hopscotch_set.h", "C++", 0, 0, 300, 0, 216, 80, 596
"c:\Users\manio\Desktop\bloblyVM\include\tsl\robin_growth_policy.h", "C++", 0, 0, 268, 0, 99, 50, 417
"c:\Users\manio\Desktop\bloblyVM\include\tsl\robin_hash.h", "C++", 0, 0, 1161, 0, 218, 264, 1643
"c:\Users\manio\Desktop\bloblyVM\include\tsl\robin_map.h", "C++", 0, 0, 401, 0, 306, 109, 816
"c:\Users\manio\Desktop\bloblyVM\include\tsl\robin_set.h", "C++", 0, 0, 302, 0, 280, 87, 669
"c:\Users\manio\Desktop\bloblyVM\main.bb", "Java", 8, 0, 0, 0, 0, 1, 9
"c:\Users\manio\Desktop\bloblyVM\src\bmemory.cpp", "C++", 0, 0, 228, 0, 40, 37, 305
"c:\Users\manio\Desktop\bloblyVM\src\common.cpp", "C++", 0, 0, 21, 0, 0, 5, 26
"c:\Users\manio\Desktop\bloblyVM\src\data\bfloat.cpp", "C++", 0, 0, 52, 0, 10, 9, 71
"c:\Users\manio\Desktop\bloblyVM\src\data\boolean.cpp", "C++", 0, 0, 36, 0, 10, 11, 57
"c:\Users\manio\Desktop\bloblyVM\src\data\bstring.cpp", "C++", 0, 0, 37, 0, 8, 9, 54
"c:\Users\manio\Desktop\bloblyVM\src\data\code.cpp", "C++", 0, 0, 34, 0, 11, 12, 57
"c:\Users\manio\Desktop\bloblyVM\src\data\data.cpp", "C++", 0, 0, 46, 0, 4, 3, 53
"c:\Users\manio\Desktop\bloblyVM\src\data\future.cpp", "C++", 0, 0, 31, 0, 9, 8, 48
"c:\Users\manio\Desktop\bloblyVM\src\data\integer.cpp", "C++", 0, 0, 72, 0, 10, 11, 93
"c:\Users\manio\Desktop\bloblyVM\src\data\iterator.cpp", "C++", 0, 0, 88, 0, 8, 17, 113
"c:\Users\manio\Desktop\bloblyVM\src\data\list.cpp", "C++", 0, 0, 124, 0, 7, 16, 147
"c:\Users\manio\Desktop\bloblyVM\src\data\struct.cpp", "C++", 0, 0, 62, 0, 0, 12, 74
"c:\Users\manio\Desktop\bloblyVM\src\data\vector.cpp", "C++", 0, 0, 398, 0, 4, 22, 424
"c:\Users\manio\Desktop\bloblyVM\src\interpreter\command.cpp", "C++", 0, 0, 59, 0, 0, 6, 65
"c:\Users\manio\Desktop\bloblyVM\test.cpp", "C++", 0, 0, 31, 0, 0, 6, 37
"c:\Users\manio\Desktop\bloblyVM\utils\optimizer.cpp", "C++", 0, 0, 98, 0, 64, 16, 178
"c:\Users\manio\Desktop\bloblyVM\utils\parser.cpp", "C++", 0, 0, 625, 0, 59, 25, 709
"c:\Users\manio\Desktop\bloblyVM\utils\stringtrim.cpp", "C++", 0, 0, 46, 0, 6, 9, 61
"Total", "-", 297, 630, 8246, 111, 2456, 1739, 13479